ms,x_gaze,y_gaze,valid,card_id_gaze,grid_position_gaze,x_click,y_click,flip,matched,card_id_click,grid_position_click
4194,1499,864,1,4,23,-1,-1,-1,-1,-1,-1
4225,1480,821,1,4,23,-1,-1,-1,-1,-1,-1
4256,1460,789,1,-1,-1,-1,-1,-1,-1,-1,-1
4288,1438,758,1,-1,-1,-1,-1,-1,-1,-1,-1
4319,1452,735,1,3,13,-1,-1,-1,-1,-1,-1
4380,1452,735,0,3,13,-1,-1,-1,-1,-1,-1
4413,1446,717,1,3,13,-1,-1,-1,-1,-1,-1
4447,1446,717,0,3,13,-1,-1,-1,-1,-1,-1
4477,1446,717,0,3,13,-1,-1,-1,-1,-1,-1
4509,1446,717,0,3,13,-1,-1,-1,-1,-1,-1
4537,1446,717,0,3,13,-1,-1,-1,-1,-1,-1
4568,1446,717,0,3,13,-1,-1,-1,-1,-1,-1
4600,1446,717,0,3,13,-1,-1,-1,-1,-1,-1
4631,1446,717,0,3,13,-1,-1,-1,-1,-1,-1
4662,1446,717,0,3,13,-1,-1,-1,-1,-1,-1
4692,1446,717,0,3,13,-1,-1,-1,-1,-1,-1
4723,1454,713,1,3,13,-1,-1,-1,-1,-1,-1
4754,1454,713,0,3,13,-1,-1,-1,-1,-1,-1
4813,1454,713,0,3,13,-1,-1,-1,-1,-1,-1
4849,1457,717,1,3,13,-1,-1,-1,-1,-1,-1
4879,1464,716,1,3,13,-1,-1,-1,-1,-1,-1
4910,1464,716,0,3,13,-1,-1,-1,-1,-1,-1
4941,1464,716,0,3,13,-1,-1,-1,-1,-1,-1
4988,1464,716,0,3,13,-1,-1,-1,-1,-1,-1
5011,1442,719,1,3,13,-1,-1,-1,-1,-1,-1
5039,1457,725,1,3,13,-1,-1,-1,-1,-1,-1
5068,1456,723,1,3,13,-1,-1,-1,-1,-1,-1
5098,1445,722,1,3,13,-1,-1,-1,-1,-1,-1
5129,1445,722,0,3,13,-1,-1,-1,-1,-1,-1
5180,1437,723,1,3,13,-1,-1,-1,-1,-1,-1
5212,1437,723,0,3,13,-1,-1,-1,-1,-1,-1
5247,1437,723,0,3,13,-1,-1,-1,-1,-1,-1
5278,1437,723,0,3,13,-1,-1,-1,-1,-1,-1
5309,1440,718,1,3,13,-1,-1,-1,-1,-1,-1
5341,1439,730,1,3,13,-1,-1,-1,-1,-1,-1
5377,1439,757,1,-1,-1,-1,-1,-1,-1,-1,-1
5411,1455,779,1,-1,-1,-1,-1,-1,-1,-1,-1
5441,1479,809,1,4,23,-1,-1,-1,-1,-1,-1
5471,1504,870,1,4,23,-1,-1,-1,-1,-1,-1
5502,1485,929,1,4,23,-1,-1,-1,-1,-1,-1
5534,1485,929,0,4,23,-1,-1,-1,-1,-1,-1
5581,1472,976,1,4,23,-1,-1,-1,-1,-1,-1
5612,1438,1024,1,4,23,-1,-1,-1,-1,-1,-1
5649,1414,1077,1,4,23,-1,-1,-1,-1,-1,-1
5679,1374,1097,1,4,23,-1,-1,-1,-1,-1,-1
5708,1365,1095,1,4,23,-1,-1,-1,-1,-1,-1
5741,1347,1108,1,4,23,-1,-1,-1,-1,-1,-1
5773,1363,1113,1,4,23,-1,-1,-1,-1,-1,-1
5806,1344,1111,1,4,23,-1,-1,-1,-1,-1,-1
5830,1345,1116,1,4,23,-1,-1,-1,-1,-1,-1
5860,1350,1130,1,4,23,-1,-1,-1,-1,-1,-1
5890,1381,1128,1,4,23,-1,-1,-1,-1,-1,-1
5923,1373,1135,1,4,23,-1,-1,-1,-1,-1,-1
5955,1395,1155,1,4,23,-1,-1,-1,-1,-1,-1
6012,1420,1151,1,4,23,-1,-1,-1,-1,-1,-1
6048,1456,1151,1,4,23,-1,-1,-1,-1,-1,-1
6078,1440,1153,1,4,23,-1,-1,-1,-1,-1,-1
6108,1439,1148,1,4,23,-1,-1,-1,-1,-1,-1
6144,1424,1136,1,4,23,-1,-1,-1,-1,-1,-1
6183,1387,1145,1,4,23,-1,-1,-1,-1,-1,-1
6210,1344,1142,1,4,23,-1,-1,-1,-1,-1,-1
6235,1331,1138,1,4,23,-1,-1,-1,-1,-1,-1
6262,1351,1140,1,4,23,-1,-1,-1,-1,-1,-1
6288,1333,1140,1,4,23,-1,-1,-1,-1,-1,-1
6317,1352,1142,1,4,23,-1,-1,-1,-1,-1,-1
6352,1350,1154,1,4,23,-1,-1,-1,-1,-1,-1
6413,1346,1164,1,4,23,-1,-1,-1,-1,-1,-1
6448,1344,1160,1,4,23,-1,-1,-1,-1,-1,-1
6477,1357,1162,1,4,23,-1,-1,-1,-1,-1,-1
6509,1388,1144,1,4,23,-1,-1,-1,-1,-1,-1
6544,1434,1132,1,4,23,-1,-1,-1,-1,-1,-1
6574,1433,1057,1,4,23,-1,-1,-1,-1,-1,-1
6605,1472,987,1,4,23,-1,-1,-1,-1,-1,-1
6641,1515,938,1,4,23,-1,-1,-1,-1,-1,-1
6666,1521,907,1,4,23,-1,-1,-1,-1,-1,-1
6693,1501,888,1,4,23,-1,-1,-1,-1,-1,-1
6720,1533,935,1,4,23,-1,-1,-1,-1,-1,-1
6782,1533,935,0,4,23,-1,-1,-1,-1,-1,-1
6813,1444,1022,1,4,23,-1,-1,-1,-1,-1,-1
6845,1359,1074,1,4,23,-1,-1,-1,-1,-1,-1
6877,1273,1121,1,4,23,-1,-1,-1,-1,-1,-1
6908,1187,1152,1,4,23,-1,-1,-1,-1,-1,-1
6944,1096,1173,1,-1,-1,-1,-1,-1,-1,-1,-1
6975,1110,1163,1,4,23,-1,-1,-1,-1,-1,-1
7032,1141,1159,1,4,23,-1,-1,-1,-1,-1,-1
7059,1162,1163,1,4,23,-1,-1,-1,-1,-1,-1
7084,1214,1161,1,4,23,-1,-1,-1,-1,-1,-1
